ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default payment next month
798fc410-45c1,20000,2,2,1,2,2,-1,-1,-2,-2,1
8a8c8f3b-8eb4,120000,2,2,2,-1,2,0,0,0,2,1
85698822-43f5,90000,2,2,2,0,0,0,0,0,0,0
0737c11b-be42,50000,2,2,1,0,0,0,0,0,0,0
3b7f77cc-dbc0,50000,1,2,1,-1,0,-1,0,0,0,0
ceae2946-47e4,50000,1,1,2,0,0,0,0,0,0,0
d3b8ce26-9c89,500000,1,1,2,0,0,0,0,0,0,0
d6e1911b-54d0,100000,2,2,2,0,-1,-1,0,0,-1,0
8421d3b3-2b54,140000,2,3,1,0,0,2,0,0,0,0
62a2fd79-cd90,20000,1,3,2,-2,-2,-2,-2,-1,-1,0
b73c34fc-91cf,200000,2,3,2,0,0,2,0,0,-1,0
4777689a-5131,260000,2,1,2,-1,-1,-1,-1,-1,2,0
b814ac5c-3d88,630000,2,2,2,-1,0,-1,-1,-1,-1,0
a17b23d4-357b,70000,1,2,2,1,2,2,0,0,2,1
0d6f99ad-84e9,250000,1,1,2,0,0,0,0,0,0,0
8f023df0-a9ea,50000,2,3,3,1,2,0,0,0,0,0
cbf648a6-98aa,20000,1,1,2,0,0,2,2,2,2,1
cb258690-8ea2,360000,2,1,1,1,-2,-2,-2,-2,-2,0
f6f0307a-b75f,180000,2,1,2,1,-2,-2,-2,-2,-2,0
47a4cdaa-aa20,130000,2,3,2,0,0,0,0,0,-1,0
834b2cac-750e,120000,2,2,1,-1,-1,-1,-1,-1,-1,1
c1d1d0f2-6aec,70000,2,2,2,2,0,0,2,2,2,1
66a293d5-6384,450000,2,1,1,-2,-2,-2,-2,-2,-2,1
817396f7-aad1,90000,1,1,2,0,0,0,-1,0,0,0
275d9f10-f748,50000,1,3,2,0,0,0,0,0,0,0
7784e5a8-a66c,60000,1,1,2,1,-2,-1,-1,-1,-1,1
99ccbfaa-715b,50000,2,3,2,0,0,0,0,0,0,0
72c682a7-c8af,230000,2,1,2,-1,-1,-1,-1,-1,-1,0
a8eb0be8-23bb,50000,1,2,2,2,0,0,0,0,0,1
3b76b111-03c1,100000,1,1,2,0,0,0,0,0,0,0
4816a117-ae08,500000,2,2,1,-2,-2,-2,-2,-2,-2,0
e5a38e8f-e086,500000,1,1,1,-2,-2,-2,-2,-2,-2,0
ffbd7e58-a499,160000,1,1,2,-1,-1,-2,-2,-2,-1,0
d60f6ef1-01b2,280000,1,2,1,0,0,0,0,0,0,0
db223ce8-182a,60000,2,2,2,0,0,0,0,0,-1,0
